name,mean_wind,mean_pressure,year,result
CLARA,25.28888,1075,2017,1
DOROTHY,25.28888,1070,2017,1
EVELYN,30.433320000000002,1070,2017,1
FRIEDA,27.8611,1071,2017,1
01P_TOM,30.433320000000002,1057,2017,1
03P_STEVE,30.433320000000002,1057,2017,1
04S_BABETTE,27.346656,1060,2017,1
05P_TESSA,30.433320000000002,1057,2017,1
06S_CELIMENE_SAM_SAM_CELIMENE,25.28888,1066,2017,1
08P_ANNE,30.433320000000002,1057,2017,1
DULCINEE,25.28888,1063,2017,1
10S_ESTHER,25.28888,1063,2017,1
PETER,27.8611,1060,2017,1
12S_TRUDY,25.28888,1064,2017,1
13S_FLEUR,25.28888,1063,2017,1
SUBTROP,27.8611,1073,2017,1
16S_VERN,27.8611,1059,2017,1
BOB,30.433320000000002,1057,2017,1
19S_JACQUELINE,25.28888,1063,2017,1
20P_CHARLES,30.433320000000002,1057,2017,1
JACQUELINE,27.346656,1060,2017,1
21P_ERNIE,30.433320000000002,1057,2017,1
22P_DIANA,30.433320000000002,1057,2017,1
23P_GWEN,27.8611,1064,2017,1
26S_MARYLOU,25.28888,1063,2017,1
27S_WINNIE,27.8611,1063,2017,1
29S_30S_ALBY,25.28888,1066,2017,1
31S_BRENDA,25.28888,1067,2017,1
32P_HAL,25.28888,1066,2017,1
AMELIA,30.433320000000002,1066,2017,1
BESS,25.28888,1072,2017,1
CORA,27.8611,1070,2017,1
DEBRA,27.8611,1070,2017,1
ELLA,25.28888,1072,2017,1
FLOSSIE,27.8611,1066,2017,1
HOPE,27.8611,1072,2017,1
IRMA,30.433320000000002,1070,2017,1
JULIET,27.8611,1071,2017,1
KENDRA,30.433320000000002,1068,2017,1
04P_FAY,35.57776,1050,2017,1
PETER,27.8611,1060,2017,1
06P_GORDON,30.433320000000002,1057,2017,1
07S_BENJAMINE,29.404432,1057,2017,1
08P_GRETA,30.433320000000002,1060,2017,1
09P_HENRY,30.433320000000002,1057,2017,1
12S_DORA,29.404432,1057,2017,1
14S_ESTELLE,25.28888,1063,2017,1
13P_KERRY,35.57776,1050,2017,1
15S_FATOU,29.404432,1057,2017,1
17P_LESLIE,30.433320000000002,1057,2017,1
19S_HAZEL,27.8611,1059,2017,1
20S_IVAN,30.433320000000002,1058,2017,1
21S_HELIOS,25.28888,1063,2017,1
22P_MELI,30.433320000000002,1057,2017,1
24P_STAN,27.8611,1062,2017,1
26S_JANE,27.8611,1060,2017,1
27S_KEVIN,27.8611,1062,2017,1
ANA,27.8611,1071,2017,1
BOB,25.28888,1072,2017,1
CLAUDETTE,25.28888,1074,2017,1
DAVID,27.8611,1068,2017,1
FREDERIC,27.8611,1069,2017,1
ELENA,27.8611,1068,2017,1
GLORIA,27.8611,1065,2017,1
HENRI,27.8611,1063,2017,1
SUBTROP,27.8611,1067,2017,1
02S_CLAUDETTE_VIOLA_VIOLA_CLAUDE,25.28888,1066,2017,1
OFA,30.433320000000002,1057,2017,1
04S_DANITZA_WILF_WILF_DANITZA,25.28888,1065,2017,1
05P_PENI,30.433320000000002,1057,2017,1
06P_PAUL,27.8611,1060,2017,1
EGLANTINE,27.8611,1065,2017,1
07S_AMY,25.28888,1058,2017,1
FLORE,25.28888,1065,2017,1
09S_BRIAN,27.8611,1063,2017,1
10S_CLARA,27.8611,1061,2017,1
IVANNE,29.918876,1060,2017,1
11S_DEAN,27.8611,1065,2017,1
13P_RAE,30.433320000000002,1057,2017,1
14P_RUTH,27.8611,1063,2017,1
15S_ENID,27.8611,1061,2017,1
16S_FRED,25.28888,1065,2017,1
17P_SIMON,27.8611,1062,2017,1
20P_SINA,27.8611,1060,2017,1
23P_TIA,30.433320000000002,1057,2017,1
26P_VAL,30.433320000000002,1057,2017,1
28P_WALLY,30.433320000000002,1057,2017,1
BONNIE,27.8611,1070,2017,1
CHARLEY,27.8611,1070,2017,1
GEORGES,30.433320000000002,1070,2017,1
EARL,27.8611,1068,2017,1
DANIELLE,27.8611,1070,2017,1
FRANCES,27.8611,1070,2017,1
HERMINE,27.8611,1068,2017,1
IVAN,27.8611,1070,2017,1
01S_ADELAIDE_ALICE_ALICE_ADELAI,25.28888,1066,2017,1
JEANNE,25.28888,1068,2017,1
KARL,40.7222,1048,2017,1
DIOLA,30.433320000000002,1057,2017,1
CAROL,25.28888,1066,2017,1
04S_CAROL,27.8611,1063,2017,1
DAN,25.28888,1066,2017,1
EDNA,25.28888,1065,2017,1
06S_FELIX,27.8611,1062,2017,1
ARTHUR,30.433320000000002,1057,2017,1
MABEL,27.8611,1064,2017,1
BETSY,33.00554,1055,2017,1
CLIFF,30.433320000000002,1057,2017,1
EDDIE,27.8611,1063,2017,1
CYC1981,30.433320000000002,1057,2017,1
DAMAN,30.433320000000002,1057,2017,1
CYC1981,30.433320000000002,1057,2017,1
NEIL,27.8611,1063,2017,1
FREDA,30.433320000000002,1058,2017,1
ESAU,30.433320000000002,1057,2017,1
ESAU,30.433320000000002,1057,2017,1
TAHMAR,30.433320000000002,1057,2017,1
MAX,25.28888,1067,2017,1
FRAN,30.433320000000002,1057,2017,1
CYC1981,30.433320000000002,1057,2017,1
OLGA,27.8611,1062,2017,1
ARLENE,30.433320000000002,1066,2017,1
PADDY,27.8611,1064,2017,1
BRET,33.00554,1072,2017,1
CINDY,30.433320000000002,1070,2017,1
DENNIS,30.433320000000002,1069,2017,1
EMILY,30.433320000000002,1068,2017,1
FLOYD,25.28888,1070,2017,1
GERT,27.8611,1073,2017,1
HARVEY,27.8611,1069,2017,1
IRENE,27.8611,1075,2017,1
JOSE,27.8611,1070,2017,1
KATRINA,27.8611,1065,2017,1
SUBTROP,38.14998,1064,2017,1
AMELIA,27.8611,1064,2017,1
GYAN,30.433320000000002,1057,2017,1
HSK0782,27.8611,1064,2017,1
GYAN,35.57776,1050,2017,1
CHRIS_CHRIS_DAMIA_DAMIA,25.28888,1067,2017,1
DAPHNE-FIFI_DAPHNE_FIFI_HSK1382,27.8611,1066,2017,1
BRUNO_HSK1482,25.28888,1066,2017,1
ERROL,27.8611,1063,2017,1
ABIGAIL,25.28888,1067,2017,1
HETTIE,30.433320000000002,1057,2017,1
GRAHAM,27.8611,1062,2017,1
CORAL,27.8611,1062,2017,1
HEBERTE,29.404432,1057,2017,1
HARRIET,25.28888,1066,2017,1
IAN,25.28888,1066,2017,1
ISABEAU,29.404432,1057,2017,1
ISAAC,30.433320000000002,1057,2017,1
IAN,30.433320000000002,1059,2017,1
BERNIE,30.433320000000002,1055,2017,1
DOMINIC,27.8611,1062,2017,1
KARLA,33.519984,1051,2017,1
CLAUDIA,27.8611,1062,2017,1
ALBERTO,25.28888,1065,2017,1
SUBTROP,27.8611,1064,2017,1
BERYL,30.433320000000002,1068,2017,1
CHRIS,27.8611,1070,2017,1
DEBBY,30.433320000000002,1070,2017,1
ERNESTO,30.433320000000002,1066,2017,1
ARILISY,27.346656,1060,2017,1
JOTI,30.433320000000002,1057,2017,1
KINA,30.433320000000002,1057,2017,1
BEMANY,25.28888,1063,2017,1
LISA,30.433320000000002,1057,2017,1
CLERA,25.28888,1063,2017,1
DADAFY,29.404432,1057,2017,1
JANE,25.28888,1063,2017,1
ELINAH,25.28888,1063,2017,1
DES,27.8611,1064,2017,1
MARK,30.433320000000002,1057,2017,1
NANO,30.433320000000002,1057,2017,1
ELINOR,25.28888,1067,2017,1
NISHA,30.433320000000002,1057,2017,1
NISHA_NISHA_ORAMA,30.433320000000002,1057,2017,1
OSCAR,30.433320000000002,1057,2017,1
PREMA,30.433320000000002,1057,2017,1
KEN,30.433320000000002,1054,2017,1
PREMA,35.57776,1050,2017,1
REWA,30.433320000000002,1057,2017,1
SABA,30.433320000000002,1057,2017,1
SARAH,30.433320000000002,1057,2017,1
TOMASI,30.433320000000002,1057,2017,1
LENA,25.28888,1069,2017,1
VEENA,35.57776,1050,2017,1
WILLIAM,30.433320000000002,1057,2017,1
NAOMI,25.28888,1065,2017,1
MONTY,27.8611,1064,2017,1
ALICIA,30.433320000000002,1069,2017,1
BARRY,27.8611,1072,2017,1
CHANTAL,27.8611,1070,2017,1
DEAN,33.00554,1070,2017,1
OSCAR,27.8611,1062,2017,1
QUENTON,27.8611,1064,2017,1
ANDRY,27.346656,1060,2017,1
FRITZ,25.28888,1063,2017,1
ESTHER,25.28888,1065,2017,1
BAKOLY,27.346656,1060,2017,1
ATU,33.00554,1055,2017,1
TIM,27.8611,1065,2017,1
CABOTO,27.346656,1060,2017,1
GRACE,25.28888,1067,2017,1
EDOARA,29.404432,1057,2017,1
FANJA_VIVIENNE_VIVIENNE_FAN,27.8611,1063,2017,1
